name,age,gender,profession,morality,brutishness,mercantileAbility,craftingAbility,cleverness,lawfulness
Ariel,61,Female,Miner,88,12,91,61,36,62
Winona,94,Female,Scavenger,27,57,41,13,95,28
Vida,71,Female,Craftsman,52,100,73,26,12,0
Rosita,27,Female,Scavenger,83,77,87,29,6,97
Athena,79,Female,Mercenary,35,91,26,30,86,14
Janel,86,Female,Panhandler,10,2,16,65,88,23
Chloe,22,Female,Farmer,76,32,65,70,100,97
Veda,91,Female,Panhandler,100,80,84,8,49,15
Pattie,42,Female,Mercenary,50,73,53,50,21,58
Tessie,11,Female,Adventurer,39,2,45,57,19,96
Tera,11,Female,Adventurer,99,53,9,8,64,4
Marilynn,80,Female,Panhandler,2,93,62,58,2,25
Lucretia,88,Female,Scavenger,90,84,69,19,49,94
Portia,24,Female,Adventurer,67,81,20,46,15,40
Merry,23,Female,Panhandler,95,23,61,16,100,78
Lashawn,73,Female,Farmer,72,0,29,12,15,12
Devon,21,Female,Mercenary,51,26,42,22,91,81
Dara,80,Female,Scavenger,76,96,48,81,47,74
Tawana,81,Female,None,52,28,93,90,54,24
Oma,90,Female,Farmer,89,75,85,16,34,99
Verda,77,Female,Merchant,51,86,53,48,48,84
Christin,36,Female,Merchant,90,25,17,55,17,12
Alene,26,Female,Craftsman,83,48,75,78,78,82
Zella,14,Female,Panhandler,21,0,82,94,54,13
Sandi,62,Female,Scavenger,82,67,6,90,14,53
Rafaela,54,Female,Panhandler,65,57,86,82,17,77
Maya,72,Female,Miner,15,63,22,80,84,9
Kira,64,Female,Adventurer,84,31,16,55,3,97
Candida,69,Female,Scavenger,20,80,74,20,15,66
Alvina,96,Female,Farmer,99,60,25,94,41,89
Suzan,22,Female,Panhandler,28,57,71,38,100,56
Karrie,62,Female,Merchant,37,71,12,23,87,90
Dinah,69,Female,Miner,42,42,86,25,10,23
Daniela,56,Female,Adventurer,73,97,37,22,91,34
Alecia,64,Female,None,21,4,86,22,10,1
Adelina,93,Female,Scavenger,91,31,79,33,1,61
Vernice,89,Female,Miner,35,98,81,70,84,24
Shiela,55,Female,Panhandler,60,48,38,98,62,47
Shayla,52,Female,Miner,86,84,54,19,62,76
Lyn,54,Female,Craftsman,16,95,46,76,64,2
Lettie,94,Female,Craftsman,3,39,39,13,3,74
Alva,73,Female,Miner,14,32,29,40,47,92
Samatha,48,Female,Scavenger,53,13,2,16,58,63
Matilde,81,Female,Adventurer,42,70,58,85,80,45
Madonna,52,Female,Craftsman,78,80,36,51,57,15
Oralia,66,Female,Scavenger,9,31,85,80,1,98
Larissa,90,Female,Merchant,41,48,80,57,34,44
Vesta,44,Female,Craftsman,41,69,15,15,14,10
Renita,11,Female,Scavenger,18,22,85,33,20,14
Delois,34,Female,Adventurer,45,71,43,46,1,29
Phillis,67,Female,Adventurer,61,95,31,34,6,52
Shanda,27,Female,Mercenary,33,52,36,86,60,67
India,45,Female,Miner,30,79,18,44,48,92
Lorri,16,Female,Craftsman,36,19,97,94,76,63
Erlinda,24,Female,Farmer,91,32,15,32,10,15
Gisela,35,Female,Adventurer,94,66,58,8,65,67
Charlie,50,Female,Farmer,4,68,83,98,83,30
Valencia,35,Female,Farmer,93,57,0,68,43,91
Roxanna,76,Female,Panhandler,42,60,54,31,96,17
Mayme,60,Female,Adventurer,24,17,87,83,3,89
Kisha,34,Female,Farmer,57,59,44,90,84,78
Cruz,24,Female,Merchant,86,34,33,23,36,73
Cathrine,61,Female,Scavenger,49,5,79,40,13,98
Barb,70,Female,Mercenary,13,86,88,39,20,87
Zoe,95,Female,Merchant,95,45,11,93,66,26
Isabell,32,Female,Panhandler,97,99,21,93,52,25
Ione,79,Female,Craftsman,40,25,68,87,80,30
Ellie,82,Female,Farmer,36,62,17,53,10,73
Mellissa,89,Female,None,93,12,5,57,45,69
Dorris,69,Female,Panhandler,66,64,74,77,12,46
Dalia,94,Female,Merchant,79,47,37,30,40,36
Bella,28,Female,Farmer,21,3,42,89,54,70
Annetta,56,Female,Farmer,16,63,89,49,35,28
Zoila,25,Female,Farmer,2,78,89,90,69,62
Reta,77,Female,Miner,43,40,91,25,35,51
Reina,97,Female,Scavenger,55,8,9,47,12,55
Lauretta,55,Female,Merchant,95,49,67,75,61,44
Kylie,12,Female,Mercenary,88,94,63,2,18,98
Christal,36,Female,Craftsman,25,33,21,72,94,67
Pilar,63,Female,Adventurer,27,13,23,59,76,79
Charla,13,Female,Craftsman,40,62,100,60,61,47
Elissa,52,Female,Scavenger,74,69,26,89,99,67
Tiffani,22,Female,Craftsman,21,25,76,16,57,6
Tana,11,Female,Miner,3,33,19,14,63,62
Mandi,91,Female,Adventurer,59,50,20,23,40,28
Dominga,98,Female,Adventurer,39,4,18,26,50,31
Santa,76,Female,Mercenary,99,86,53,12,60,84
Melodie,43,Female,Farmer,35,82,23,3,30,70
Lura,93,Female,None,72,24,87,12,97,37
Alexa,54,Female,Panhandler,84,51,59,84,38,95
Tamela,34,Female,Mercenary,97,27,44,51,100,17
Ryan,45,Female,Farmer,15,80,58,86,41,76
Mirna,17,Female,None,23,95,60,87,81,28
Kerrie,54,Female,Craftsman,27,88,16,6,7,3
Venus,78,Female,Merchant,46,92,78,28,70,23
Noel,50,Female,Craftsman,24,94,71,94,5,95
Felicita,55,Female,Adventurer,56,24,0,49,67,19
Cristy,71,Female,Mercenary,48,79,35,50,18,87
Carmelita,72,Female,Panhandler,49,19,49,43,93,46
Berniece,70,Female,Craftsman,84,22,83,26,25,3
Annemarie,80,Female,Miner,26,37,10,72,42,67
Tiara,71,Female,None,40,47,4,31,45,66
Paulina,55,Female,Mercenary,49,48,8,75,78,17
Leota,77,Female,Scavenger,5,77,5,66,56,92
Breanna,31,Female,Scavenger,46,83,3,40,59,15
Jayme,70,Female,Miner,14,45,56,0,49,22
Carmel,32,Female,Craftsman,93,81,6,89,17,72
Vernell,85,Female,Scavenger,94,59,47,96,80,53
Tomasa,70,Female,Miner,26,55,39,87,44,64
Roseanne,84,Female,Mercenary,50,69,88,12,32,47
Missy,97,Female,Adventurer,66,27,72,23,15,1
Cori,45,Female,Scavenger,34,19,46,32,35,64
Roxana,15,Female,Farmer,61,22,83,99,50,71
Pricilla,90,Female,Farmer,90,97,21,62,74,49
Kristal,99,Female,Merchant,41,21,29,19,72,12
Jung,69,Female,Scavenger,89,53,32,25,57,79
Elyse,56,Female,Farmer,19,94,8,1,18,43
Haydee,48,Female,None,92,85,60,9,62,95
Harriette,47,Female,Farmer,74,53,96,27,53,95
Caridad,88,Female,Adventurer,29,28,10,91,41,82
Vada,52,Female,Adventurer,60,32,20,39,75,63
Una,36,Female,Miner,27,100,50,51,82,4
Aretha,95,Female,Adventurer,12,7,83,48,58,53
Pearline,82,Female,Adventurer,66,14,41,60,47,46
Marjory,35,Female,Adventurer,6,27,65,24,63,98
Marcela,83,Female,Panhandler,30,71,12,65,40,74
Flor,65,Female,Merchant,23,54,81,19,9,84
Evette,33,Female,Panhandler,11,66,59,1,2,98
Elouise,37,Female,Scavenger,32,94,65,97,42,81
Alina,27,Female,Merchant,65,53,71,89,30,90
Trinidad,53,Female,None,96,81,77,47,9,75
David,89,Female,Mercenary,87,47,61,68,62,13
Damaris,81,Female,None,78,31,58,51,0,58
Catharine,40,Female,Craftsman,18,60,70,84,44,15
Carroll,65,Female,None,70,86,49,3,51,64
Belva,15,Female,Craftsman,3,38,7,80,84,56
Aletha,11,Female,Scavenger,10,31,21,9,50,42
Bettina,37,Female,Farmer,97,42,77,64,2,54
Marge,29,Female,None,76,99,86,49,85,44
Gillian,14,Female,Craftsman,54,95,3,55,26,82
Filomena,44,Female,Scavenger,28,48,4,35,75,98
Charles,51,Female,Craftsman,28,65,10,94,42,72
Zenaida,74,Female,Panhandler,97,14,49,55,81,76
Nakia,49,Female,Adventurer,24,49,85,58,24,54
Marlena,96,Female,Farmer,26,77,95,29,3,16
Luanne,94,Female,None,40,41,28,31,29,53
Lorine,67,Female,Merchant,43,25,73,16,14,19
Karon,93,Female,Mercenary,24,24,23,13,13,81
Dorene,48,Female,None,51,76,6,46,5,59
Danita,32,Female,Merchant,98,87,18,57,95,50
Brenna,90,Female,Scavenger,92,48,63,66,56,21
Tatiana,52,Female,Panhandler,69,81,63,32,49,11
Leonora,26,Female,Craftsman,90,89,32,6,50,57
Dovie,100,Female,Mercenary,53,88,28,84,27,99
Romona,88,Female,Scavenger,30,41,89,10,93,69
Mimi,34,Female,Adventurer,69,66,15,65,93,49
Jacquelin,60,Female,Farmer,41,71,7,75,14,33
Gaye,90,Female,Scavenger,74,86,3,95,51,52
Tonja,45,Female,Farmer,94,80,57,57,21,75
Misti,100,Female,Miner,90,42,49,76,25,57
Joe,40,Female,Craftsman,66,54,21,24,19,95
Gene,49,Female,Farmer,73,35,13,54,72,94
Chastity,38,Female,Miner,35,23,75,77,71,9
Stacia,47,Female,Craftsman,91,78,92,55,4,5
Roxann,62,Female,Merchant,26,24,91,81,84,45
Micaela,95,Female,Craftsman,65,82,59,72,76,76
Nikita,36,Female,None,52,9,68,70,59,76
Mei,23,Female,Merchant,46,66,61,70,47,17
Velda,56,Female,Mercenary,54,82,15,13,81,2
Marlys,65,Female,Farmer,36,52,9,52,54,57
Sammie,86,Female,Miner,28,3,28,11,82,11
Louann,39,Female,Miner,28,77,86,99,60,14
Loren,64,Female,None,91,62,72,41,27,39
Julianna,60,Female,Panhandler,49,100,92,81,49,37
Andria,69,Female,Mercenary,51,75,45,53,49,6
Philomena,55,Female,None,67,36,36,42,83,28
Lucila,12,Female,Miner,14,69,78,86,91,38
Johnna,38,Female,None,85,61,33,23,75,19
Aura,59,Female,Craftsman,3,36,87,7,42,63
Lavern,28,Female,Merchant,66,50,9,68,14,21
Ivonne,18,Female,Panhandler,61,29,17,85,36,62
Hayley,85,Female,Scavenger,58,33,53,94,71,3
Nicki,90,Female,Merchant,22,67,66,35,52,76
Majorie,63,Female,Panhandler,45,31,54,33,94,24
Herlinda,15,Female,Panhandler,79,81,28,97,23,23
George,46,Female,Scavenger,10,39,18,2,88,39
Mozelle,85,Female,Mercenary,18,47,60,92,27,28
Mariah,65,Female,Adventurer,51,6,26,76,98,69
Joelle,50,Female,Panhandler,34,12,47,35,35,38
Cordelia,42,Female,Mercenary,76,6,8,26,12,51
Josette,18,Female,Craftsman,36,59,57,85,72,27
Chiquita,100,Female,Adventurer,57,27,46,24,55,77
Trista,89,Female,Scavenger,30,0,51,32,68,98
Louis,63,Female,Miner,33,15,40,79,49,6
Laquita,41,Female,None,39,66,25,19,93,30
Georgiana,63,Female,Farmer,18,4,62,24,55,74
Candi,71,Female,Craftsman,24,49,49,49,24,29
Shanon,57,Female,Merchant,29,55,54,98,3,7
Lonnie,55,Female,Mercenary,84,27,100,96,39,49
Hildegard,34,Female,Mercenary,3,32,85,57,73,73
Cecil,11,Female,Panhandler,56,99,5,91,60,47
Valentina,11,Female,Merchant,6,74,61,52,8,100
Stephany,95,Female,Farmer,84,81,29,37,86,27
Magda,30,Female,Panhandler,87,94,58,86,27,83
Alpha,24,Female,Miner,74,4,12,15,72,8
Yadira,49,Female,None,50,34,45,50,61,98
Perla,23,Female,Adventurer,78,20,59,7,47,65
Gregoria,55,Female,Scavenger,45,100,18,90,41,17
Daniel,24,Female,Craftsman,65,29,82,73,51,15
Antonette,28,Female,Miner,100,62,16,94,87,95
Shelli,52,Female,Craftsman,18,50,27,91,84,55
Karol,36,Female,Miner,60,27,45,30,46,56
Gerry,99,Female,Panhandler,81,70,42,91,57,33
Gabriella,19,Female,None,75,72,47,46,2,40
Tiana,24,Female,Mercenary,90,88,25,37,79,14
Roma,57,Female,Merchant,1,81,41,13,26,87
Richelle,68,Female,None,29,45,21,64,97,21
Ray,51,Female,Panhandler,16,75,70,24,22,88
Princess,27,Female,Craftsman,73,35,30,100,17,25
Oleta,37,Female,None,30,60,76,4,38,55
Raven,52,Female,Mercenary,40,86,64,95,98,10
Nereida,22,Female,None,16,86,34,41,92,43
Marlyn,100,Female,Scavenger,23,70,18,57,54,37
Kyla,49,Female,Mercenary,95,76,10,3,64,49
Joseph,59,Female,Farmer,90,87,80,96,7,8
Delfina,27,Female,Scavenger,60,9,41,70,14,95
Tena,18,Female,Panhandler,9,18,39,10,16,2
Stephenie,69,Female,Panhandler,0,28,51,32,36,47
Sabina,11,Female,Mercenary,1,74,82,30,24,22
Nathalie,85,Female,Mercenary,72,70,80,53,62,19
Marcelle,76,Female,None,37,51,60,0,79,96
Gertie,46,Female,None,2,49,80,40,89,41
Darleen,70,Female,Craftsman,47,5,23,24,56,26
Thea,67,Female,Merchant,22,15,18,25,80,54
Sharonda,47,Female,Scavenger,18,5,55,56,44,15
Shantel,61,Female,Craftsman,25,89,49,69,70,58
Belen,49,Female,None,94,90,11,98,94,96
Venessa,11,Female,Farmer,77,18,11,11,51,68
Jacque,63,Female,Mercenary,11,14,37,40,86,42
Idella,11,Female,Craftsman,33,55,10,91,79,78
Alaina,74,Female,Mercenary,41,17,77,75,3,56
Suzanna,93,Female,Mercenary,65,40,84,31,24,12
Jovita,79,Female,Adventurer,40,86,17,77,38,58
Blair,79,Female,Miner,67,35,20,54,23,44
Tosha,25,Female,None,79,15,10,42,8,72
Rosalina,24,Female,Craftsman,22,34,60,80,69,73
Ona,52,Female,Panhandler,13,99,6,66,18,3
Genoveva,29,Female,Scavenger,70,54,78,26,6,65
Corey,28,Female,Adventurer,65,89,39,77,74,70
Clementine,20,Female,Craftsman,84,84,12,65,42,91
Rosalba,94,Female,None,87,68,83,32,31,88
Renate,29,Female,Miner,46,32,13,49,88,45
Renata,61,Female,None,20,21,65,12,58,1
Mi,95,Female,Merchant,88,76,3,17,74,84
Mariam,30,Female,Farmer,49,92,16,73,91,95
Juli,91,Female,Craftsman,79,83,30,21,75,72
Jesica,44,Female,Panhandler,89,10,69,41,57,5
Donnie,50,Female,Adventurer,83,56,5,47,93,38
Vikki,95,Female,Merchant,98,34,88,14,82,98
Verla,19,Female,Mercenary,55,28,86,46,16,13
Roselyn,23,Female,Scavenger,55,96,51,72,41,68
Melvina,51,Female,Scavenger,0,28,55,54,14,98
Jannette,31,Female,None,1,13,35,7,93,46
Ginny,41,Female,None,5,72,31,60,22,41
Debrah,86,Female,Scavenger,41,72,20,80,42,99
Corrie,11,Female,Miner,61,65,42,22,16,69
Asia,80,Female,Farmer,94,5,92,8,81,63
Violeta,98,Female,None,12,13,100,30,63,80
Myrtis,53,Female,None,70,79,19,97,30,62
Latricia,46,Female,Scavenger,21,11,72,47,46,49
Collette,82,Female,Scavenger,45,69,60,15,83,95
Charleen,11,Female,Farmer,20,1,24,32,60,35
Ivory,18,Female,None,33,73,41,41,54,31
Georgianna,50,Female,Miner,41,42,56,10,21,25
Floy,66,Female,Panhandler,21,85,2,54,86,78
Dorcas,23,Female,Merchant,54,22,79,70,29,1
Ariana,96,Female,Craftsman,59,37,48,15,46,12
Tyra,47,Female,Craftsman,22,54,27,38,78,70
Theda,54,Female,Adventurer,47,72,80,76,18,84
Anissa,27,Female,Mercenary,70,26,91,61,56,92
Viviana,45,Female,Craftsman,1,56,19,88,44,4
Twyla,30,Female,Merchant,93,75,90,79,4,38
Precious,37,Female,Adventurer,30,25,24,83,65,57
Nedra,68,Female,Miner,4,46,45,35,51,67
Latonia,32,Female,Panhandler,68,28,54,62,19,24
Lan,15,Female,None,92,28,35,68,28,60
Hellen,97,Female,Merchant,31,65,76,54,98,84
Fabiola,67,Female,Panhandler,66,20,37,56,46,68
Lindy,89,Female,Craftsman,57,100,42,45,12,33
Kia,42,Female,Scavenger,40,75,24,73,64,2
Kesha,52,Female,Panhandler,22,11,65,20,9,91
Jeana,71,Female,Scavenger,98,72,32,99,5,74
Danelle,48,Female,Craftsman,56,68,75,67,27,10
Charline,25,Female,Mercenary,21,18,84,13,72,75
Chanel,58,Female,Mercenary,4,29,84,30,60,17
Carrol,24,Female,Farmer,73,58,17,51,38,8
Valorie,28,Female,Merchant,0,33,51,57,29,34
Lia,100,Female,Merchant,46,41,37,45,64,87
Dortha,96,Female,Panhandler,79,28,75,43,18,69
Cristal,15,Female,Panhandler,61,16,81,58,48,84
Sunny,77,Female,None,86,86,51,54,51,78
Leone,95,Female,Farmer,93,41,65,68,18,23
Leilani,88,Female,Farmer,58,68,50,20,93,59
Gerri,10,Female,Craftsman,91,45,97,11,17,29
Debi,81,Female,Adventurer,33,91,35,31,60,59
Andra,60,Female,Mercenary,18,69,100,6,25,99
Chantal,78,Female,Adventurer,27,92,100,19,59,81
Annamarie,36,Female,Adventurer,56,65,7,10,39,27
Lizette,80,Female,None,69,95,0,79,35,4
Adell,49,Female,Panhandler,7,79,48,57,42,64
Sharyn,64,Female,Craftsman,24,52,5,88,71,81
Keshia,85,Female,Panhandler,6,64,3,41,8,50
Maud,65,Female,Miner,46,99,40,61,64,39
Niki,66,Female,Farmer,38,50,95,64,80,45
Ima,90,Female,Miner,46,13,51,79,12,41
Eulalia,91,Female,Panhandler,47,54,56,1,60,39
Easter,74,Female,Panhandler,57,22,45,17,30,11
Dulce,57,Female,Panhandler,67,15,86,19,34,45
Natividad,44,Female,Scavenger,36,84,52,63,65,66
Kami,53,Female,Farmer,74,12,83,84,33,27
Georgie,81,Female,Miner,59,91,31,0,28,54
Linnie,34,Female,Farmer,27,1,5,60,37,17
Catina,73,Female,Adventurer,40,59,41,8,82,90
Brook,94,Female,Scavenger,5,81,59,27,13,76
Alda,30,Female,Panhandler,13,73,28,11,73,88
Winnifred,91,Female,Mercenary,0,85,31,87,86,82
Ruthann,74,Female,Mercenary,25,95,30,78,73,87
Sharla,42,Female,Mercenary,100,88,30,56,18,50
Meaghan,29,Female,None,4,68,95,82,93,47
Magdalene,39,Female,Panhandler,65,54,11,38,42,100
Trena,63,Female,Merchant,12,45,72,46,0,14
Shirlene,39,Female,Miner,4,52,100,64,52,86
Shameka,93,Female,Mercenary,20,80,26,73,63,47
Elizebeth,58,Female,Miner,18,35,2,69,14,59
Dian,21,Female,Farmer,90,41,25,38,38,47
Shanta,98,Female,Panhandler,33,63,46,67,3,20
Mickey,21,Female,Miner,90,92,76,10,35,13
Latosha,33,Female,None,68,27,39,89,78,90
Carlotta,48,Female,Farmer,81,49,100,32,88,47
Windy,83,Female,None,56,93,25,18,89,47
Soon,52,Female,Merchant,67,13,64,69,5,50
Rosina,93,Female,None,14,3,31,0,3,72
Mariann,79,Female,Adventurer,83,11,75,30,53,94
Leisa,33,Female,Farmer,29,53,49,30,33,96
Jonnie,54,Female,Farmer,68,84,69,8,80,77
Dawna,92,Female,Merchant,80,34,58,63,9,98
Cathie,17,Female,Craftsman,60,26,37,9,77,98
Billy,84,Female,Farmer,96,32,67,66,99,17
Astrid,97,Female,Scavenger,33,84,54,14,84,99
Sidney,23,Female,Adventurer,56,19,52,100,82,5
Janeen,10,Female,Farmer,41,61,0,25,64,61
Holli,84,Female,Miner,78,95,28,58,83,36
Fawn,94,Female,None,59,75,60,54,75,71
Vickey,64,Female,Farmer,97,68,53,27,59,82
Teressa,47,Female,Miner,4,45,17,82,19,91
Shante,59,Female,Farmer,18,45,3,58,9,0
Rubye,42,Female,Farmer,99,73,22,56,43,39
Marcelina,71,Female,Farmer,4,14,46,5,84,1
Chanda,89,Female,Miner,95,8,7,11,12,0
Cary,48,Female,Adventurer,19,34,63,60,86,74
Terese,72,Female,Panhandler,19,59,43,87,54,34
Scarlett,42,Female,Adventurer,77,52,50,6,16,67
Marty,56,Female,Scavenger,57,77,52,44,80,17
Marnie,23,Female,Craftsman,48,18,14,6,39,12
Lulu,19,Female,Miner,35,92,3,100,100,83
Lisette,47,Female,Mercenary,24,18,41,77,87,27
Jeniffer,36,Female,Scavenger,13,51,89,32,62,9
Elenor,79,Female,Panhandler,25,91,65,85,88,19
Laureen,51,Female,Scavenger,76,11,72,81,35,56
Dorinda,87,Female,Craftsman,37,70,67,49,96,22
Lissette,10,Female,Craftsman,70,55,72,64,75,70
Donita,77,Female,Adventurer,1,10,69,26,49,71
Carman,34,Female,None,19,52,75,47,67,47
Bernita,32,Female,Miner,50,56,9,9,67,99
Adelaida,10,Female,None,68,52,80,14,37,16
Altagracia,89,Female,Mercenary,53,31,16,45,83,97
Aleta,40,Female,Miner,32,11,6,69,28,99
Adrianna,33,Female,Panhandler,43,99,79,41,97,27
Zoraida,40,Female,Farmer,12,26,5,13,69,48
Ronnie,71,Female,Scavenger,16,9,67,93,5,78
Nicola,69,Female,Mercenary,56,4,19,76,54,67
Lyndsey,82,Female,None,21,78,88,10,79,11
Kendall,30,Female,Craftsman,18,49,12,46,0,68
Janina,100,Female,Mercenary,71,55,60,60,68,11
Chrissy,82,Female,Adventurer,75,48,30,95,45,4
Ami,91,Female,Merchant,57,50,78,10,6,68
Starla,11,Female,Adventurer,0,18,11,64,94,96
Phylis,61,Female,Miner,3,54,1,49,1,73
Phuong,22,Female,Mercenary,32,13,25,7,95,58
Kyra,93,Female,Scavenger,11,51,13,72,33,3
Charisse,37,Female,Adventurer,4,49,64,52,11,30
Blanch,47,Female,Mercenary,40,61,86,94,9,97
Sanjuanita,98,Female,Craftsman,0,52,25,39,90,84
Rona,73,Female,Farmer,46,41,89,14,66,51
Nanci,77,Female,Adventurer,69,28,29,3,72,91
Marilee,59,Female,Mercenary,65,86,28,32,67,35
Maranda,83,Female,Craftsman,5,3,12,92,51,12
Cory,41,Female,Adventurer,7,42,78,75,93,29
Brigette,46,Female,None,73,93,42,92,21,8
Sanjuana,11,Female,Panhandler,90,96,10,33,18,98
Marita,21,Female,Mercenary,69,79,22,13,95,22
Kassandra,70,Female,None,17,64,22,88,31,79
Joycelyn,15,Female,Merchant,33,49,18,46,84,5
Ira,95,Female,Farmer,63,91,97,77,41,100
Ileana,90,Female,None,90,82,80,28,2,41
Candelaria,42,Female,Farmer,53,7,75,98,57,63
Tony,43,Female,Mercenary,61,10,10,69,64,26
Toby,54,Female,Farmer,85,39,8,54,94,52
Sherie,99,Female,Panhandler,69,100,76,17,2,8
Ok,14,Female,Panhandler,45,23,98,92,71,71
Mark,71,Female,None,2,73,77,12,66,31
Lucie,28,Female,Adventurer,50,46,74,97,3,10
Leatrice,29,Female,Miner,78,51,95,36,77,45
Lakeshia,58,Female,None,67,17,82,65,66,81
Gerda,89,Female,Farmer,68,29,57,43,6,66
Edie,23,Female,Mercenary,14,59,17,93,6,57
Bambi,12,Female,Panhandler,53,56,16,65,25,58
Marylin,57,Female,Farmer,8,35,48,90,95,37
Lavon,52,Female,Craftsman,1,92,19,30,39,79
Hortense,39,Female,Merchant,80,45,8,10,10,17
Garnet,21,Female,Adventurer,72,23,64,12,25,100
Evie,10,Female,Craftsman,61,49,33,11,97,54
Venita,30,Female,Mercenary,54,77,36,54,20,37
Felipa,61,Female,Farmer,10,7,86,6,45,46
Chelsie,82,Female,None,27,1,86,46,23,93
Bonny,83,Female,None,42,98,82,29,43,0
Mireya,21,Female,None,52,76,75,14,37,79
Lorenza,53,Female,Craftsman,83,52,82,34,33,65
Kyong,86,Female,Merchant,25,9,62,80,36,68
Tressa,19,Female,None,92,17,48,86,53,74
Shayna,98,Female,Panhandler,24,74,18,36,53,1
Lavina,26,Female,None,69,84,40,90,7,14
Kyung,22,Female,Craftsman,82,37,48,4,1,74
Jeanetta,73,Female,None,90,54,55,89,41,79
Sherrill,40,Female,Craftsman,50,12,85,99,30,68
Shara,15,Female,Scavenger,69,90,11,16,82,76
Phyliss,76,Female,Mercenary,57,11,10,86,50,4
Mittie,83,Female,None,45,2,36,89,16,99
Lashanda,35,Female,Panhandler,78,32,59,1,17,55
Karissa,95,Female,Mercenary,11,6,26,53,76,31
Enriqueta,19,Female,Panhandler,38,98,57,21,48,99
Daria,27,Female,None,6,54,75,65,88,83
Daniella,34,Female,Scavenger,31,64,2,90,20,77
Corinna,67,Female,Miner,94,27,30,6,8,78
Alanna,39,Female,Farmer,84,2,76,16,61,93
Abbey,37,Female,Panhandler,96,68,17,69,17,86
Roxane,29,Female,None,38,18,73,61,59,27
Roseanna,85,Female,Panhandler,17,46,70,11,93,79
Magnolia,66,Female,Mercenary,96,7,85,90,16,27
Lida,66,Female,Miner,43,66,77,96,4,2
Kyle,92,Female,Adventurer,84,29,36,71,26,27
Joellen,51,Female,None,69,5,91,80,23,68
Era,93,Female,None,53,52,10,42,31,90
Coral,42,Female,Adventurer,66,33,34,76,91,63
Carleen,61,Female,Adventurer,77,34,47,100,58,96
Tresa,82,Female,Merchant,17,73,29,10,28,10
Anabel,74,Female,Panhandler,36,89,58,51,60,77
Alesia,34,Female,Merchant,0,22,90,51,98,39
Thuy,96,Female,Mercenary,4,43,51,100,71,2
Tawanda,89,Female,Farmer,3,41,34,83,17,20
Richard,58,Female,Mercenary,72,9,6,41,39,22
Joanie,32,Female,Farmer,16,54,90,69,57,72
Tiffanie,71,Female,Merchant,0,40,76,12,99,11
Peggie,52,Female,Miner,61,36,81,85,75,14
Novella,10,Female,Farmer,4,9,8,72,37,51
Nila,97,Female,Craftsman,54,16,46,90,52,30
Maybelle,42,Female,None,47,65,57,85,12,16
Jenelle,16,Female,Scavenger,12,79,99,15,75,46
Carina,65,Female,Panhandler,81,16,3,56,97,69
Nova,67,Female,Panhandler,48,49,88,14,20,10
Melina,70,Female,Panhandler,8,54,47,15,27,80
Marquerite,56,Female,Adventurer,11,74,32,56,98,71
Tawnya,60,Female,Mercenary,68,65,8,64,28,26
Sherita,82,Female,Craftsman,75,1,54,76,85,92
Santos,35,Female,Farmer,66,44,31,82,73,51
Myriam,36,Female,Miner,77,38,20,63,62,98
Lizabeth,66,Female,None,61,16,62,6,8,95
Lise,17,Female,Farmer,76,78,15,41,100,55
Keely,83,Female,Miner,14,59,12,94,99,43
Jenni,54,Female,Scavenger,43,19,98,67,51,97
Giselle,10,Female,Panhandler,89,45,29,29,37,80
Cheryle,12,Female,Scavenger,35,48,39,25,49,88
Ardith,55,Female,Miner,82,96,44,51,99,47
Ardis,41,Female,Scavenger,85,28,61,66,33,52
Alesha,28,Female,Merchant,55,69,61,54,79,85
Adriane,82,Female,Mercenary,72,6,16,52,54,53
Shaina,57,Female,Craftsman,97,99,13,8,18,86
Linnea,44,Female,Miner,55,47,26,45,93,50
Karolyn,89,Female,Merchant,39,26,70,0,76,95
Hong,68,Female,Merchant,53,61,5,67,12,90
Margarette,22,Female,Adventurer,28,13,83,59,43,91
Josephina,41,Female,Craftsman,60,14,55,59,61,91
Evonne,40,Female,Farmer,67,19,37,41,40,60
Devin,99,Female,Mercenary,27,47,82,15,81,19
Cinthia,99,Female,Scavenger,22,36,21,36,95,9
Albina,22,Female,Mercenary,79,5,56,58,2,81
Toya,86,Female,Craftsman,3,26,18,5,20,58
Florida,78,Female,Scavenger,11,74,30,2,81,45
Felisha,50,Female,Merchant,50,62,15,80,14,14
Dori,35,Female,None,42,100,64,74,98,69
Darci,60,Female,None,15,43,37,34,33,71
Artie,78,Female,Panhandler,47,14,19,77,1,20
Armida,46,Female,None,12,69,66,67,3,38
Zola,48,Female,Farmer,82,10,58,71,27,70
Vergie,66,Female,Merchant,8,7,86,30,73,87
Shamika,90,Female,Farmer,28,78,5,19,19,73
Xiomara,87,Female,Mercenary,99,51,63,93,77,51
Nena,33,Female,Panhandler,90,79,27,57,12,5
Nannette,42,Female,Merchant,30,8,59,32,22,26
Maxie,66,Female,Miner,63,19,56,36,8,73
Lovie,27,Female,Farmer,54,14,64,75,36,74
Jeane,50,Female,None,86,35,86,65,13,83
Jaimie,83,Female,Scavenger,98,39,34,32,94,89
Inge,69,Female,Craftsman,95,22,94,72,61,46
Farrah,95,Female,Adventurer,0,13,89,44,52,68
Elaina,56,Female,Mercenary,97,5,72,42,86,18
Teena,58,Female,Miner,73,52,14,87,60,32
